Calling: download_display_sitemap [2021-06-04 11:30:32.252715  2021-06-04 11:30:32.902557] Args: (1, 'https://scripbox.com/mutual-fund/lps.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 11:31:51.684906  2021-06-04 11:31:55.109902] Args: (2, 'https://scripbox.com/mutual-fund/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 13:00:29.290504  2021-06-04 13:00:29.912935] Args: (1, 'https://fenixbegravning.se/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 13:09:00.010637  2021-06-04 13:09:00.646455] Args: (1, 'https://www.sitemaps.org/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 15:28:41.766609  2021-06-04 15:29:10.766038] Args: (1, 'https://www.jobillico.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 15:44:13.968908  2021-06-04 15:44:43.888426] Args: (1, 'https://www.jobillico.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 15:48:46.754870  2021-06-04 15:48:52.070879] Args: (1, 'https://www.jobillico.com/sitemap_job_postings_2.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 15:49:49.632229  2021-06-04 15:50:18.499024] Args: (1, 'https://www.jobillico.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 19:09:45.680345  2021-06-04 19:09:50.691861] Args: (3, 'https://mapsofarabia.com/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 19:11:10.717183  2021-06-04 19:11:15.018604] Args: (1, 'http://peter.nikolow.me/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-04 23:58:17.126468  2021-06-04 23:58:19.074591] Args: (1, 'https://www.trailappliances.com/media/sitemaps/bc_en.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 05:57:59.001878  2021-06-05 05:58:06.399853] Args: (3, 'https://www.friedcoffee.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 12:08:37.506102  2021-06-05 12:08:37.914120] Args: (1, 'https://www.sport24.gr/sitemap/sitemap-sections.xml.gz', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 12:09:43.708694  2021-06-05 12:09:44.280301] Args: (2, 'https://www.gazzetta.gr/sitemap-categories.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 12:10:07.637271  2021-06-05 12:10:08.460954] Args: (3, 'https://www.gazzetta.gr/sitemap-categories.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 12:13:09.041152  2021-06-05 12:13:09.239235] Args: (1, 'https://www.sport24.gr/sitemap/sitemap-sections.xml.gz', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 13:55:20.918462  2021-06-05 13:55:25.723330] Args: (1, 'https://www.ntv.com.tr/video-sitemap/922', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-05 21:57:14.884140  2021-06-05 21:57:15.113825] Args: (1, 'https://praxistipps.chip.de/sitemaps/posts-2021-06.xml', [True]) Kwargs: {}
